Crop,Variety,State,Season,Year,Quantity,Production,Unit,Cost,Recommended_Zone
Maize,Standard,Rajasthan,Kharif,2011,22.69,18.94,Tons,42205.28,Rajasthan
Oilseeds,High Yield,Andhra Pradesh,Rabi,2008,11.58,9.29,Tons,27906.39,Andhra Pradesh
Oilseeds,High Yield,Andhra Pradesh,Kharif,2004,10.6,10.95,Tons,21949.15,Andhra Pradesh
Jute,Organic,Karnataka,Kharif,2002,17.76,20.43,Tons,28076.94,Karnataka
Jute,Standard,Gujarat,Kharif,2013,20.03,16.94,Tons,47872.47,Gujarat
Soybean,Hybrid,Maharashtra,Zaid,2004,8.23,6.75,Tons,19603.89,Maharashtra
Sugarcane,Hybrid,Tamil Nadu,Zaid,2010,58.58,53.0,Tons,128367.59,Tamil Nadu
Rice,Standard,Maharashtra,Kharif,2003,45.01,41.39,Tons,92423.78,Maharashtra
Rice,Organic,Andhra Pradesh,Zaid,2003,34.84,41.62,Tons,81290.01,Andhra Pradesh
Soybean,Standard,Karnataka,Rabi,2007,11.21,12.75,Tons,25834.38,Karnataka
Rice,Standard,Punjab,Kharif,2010,54.71,60.16,Tons,106704.83,Punjab
Maize,Standard,Gujarat,Zaid,2009,22.3,20.45,Tons,38003.35,Gujarat
Jute,Organic,Madhya Pradesh,Kharif,2004,15.87,15.21,Tons,32243.89,Madhya Pradesh
Wheat,High Yield,Punjab,Rabi,2012,53.16,52.03,Tons,93149.53,Punjab
Jute,High Yield,Karnataka,Rabi,2010,20.01,19.11,Tons,36690.48,Karnataka
Wheat,Organic,Gujarat,Zaid,2014,30.73,35.1,Tons,67631.34,Gujarat
Cotton,Standard,Maharashtra,Kharif,2014,11.99,10.11,Tons,20124.4,Maharashtra
Soybean,Organic,Haryana,Rabi,2005,12.48,12.9,Tons,25649.34,Haryana
Soybean,Hybrid,Karnataka,Zaid,2005,7.27,6.61,Tons,15855.52,Karnataka
Cotton,High Yield,Rajasthan,Kharif,2007,10.31,9.06,Tons,22011.26,Rajasthan
Rice,High Yield,Rajasthan,Kharif,2008,37.43,43.85,Tons,82514.04,Rajasthan
Cotton,Standard,Tamil Nadu,Rabi,2007,14.68,12.28,Tons,24844.18,Tamil Nadu
Wheat,High Yield,Madhya Pradesh,Rabi,2010,30.71,31.11,Tons,55369.43,Madhya Pradesh
Groundnut,Standard,Gujarat,Rabi,2013,17.5,20.78,Tons,37040.67,Gujarat
Sugarcane,High Yield,Uttar Pradesh,Rabi,2012,98.53,91.77,Tons,165902.95,Uttar Pradesh
Oilseeds,Standard,Madhya Pradesh,Rabi,2008,11.29,9.92,Tons,22797.95,Madhya Pradesh
Soybean,Hybrid,Andhra Pradesh,Kharif,2010,10.02,11.02,Tons,23607.27,Andhra Pradesh
Maize,Organic,Karnataka,Rabi,2014,29.21,26.73,Tons,55140.45,Karnataka
Jute,High Yield,Haryana,Rabi,2006,27.29,31.88,Tons,50116.65,Haryana
Jute,Standard,Haryana,Kharif,2003,21.72,23.22,Tons,39636.53,Haryana
Sugarcane,High Yield,Andhra Pradesh,Rabi,2005,70.92,68.91,Tons,140661.13,Andhra Pradesh
Pulses,Standard,Madhya Pradesh,Rabi,2011,7.93,6.54,Tons,17994.95,Madhya Pradesh
Jute,Standard,Madhya Pradesh,Zaid,2007,13.98,13.32,Tons,26906.94,Madhya Pradesh
Groundnut,Standard,Andhra Pradesh,Kharif,2005,13.93,11.37,Tons,26771.07,Andhra Pradesh
Cotton,Standard,Uttar Pradesh,Rabi,2013,16.57,17.35,Tons,30659.26,Uttar Pradesh
Sugarcane,High Yield,Rajasthan,Zaid,2004,54.26,62.18,Tons,134022.28,Rajasthan
Pulses,Standard,Madhya Pradesh,Rabi,2003,7.81,8.62,Tons,15488.72,Madhya Pradesh
Maize,High Yield,Punjab,Rabi,2005,35.6,37.17,Tons,85885.88,Punjab
Maize,Standard,Uttar Pradesh,Kharif,2003,30.14,33.17,Tons,48291.73,Uttar Pradesh
Wheat,Standard,Maharashtra,Kharif,2005,37.05,35.48,Tons,55960.85,Maharashtra
Jute,Standard,Andhra Pradesh,Zaid,2008,17.28,19.9,Tons,32939.95,Andhra Pradesh
Sugarcane,High Yield,Rajasthan,Kharif,2009,56.22,55.69,Tons,131832.95,Rajasthan
Groundnut,High Yield,Andhra Pradesh,Zaid,2004,11.54,12.45,Tons,19727.07,Andhra Pradesh
Sugarcane,Hybrid,Tamil Nadu,Kharif,2005,68.04,77.5,Tons,132196.51,Tamil Nadu
Groundnut,Standard,Gujarat,Zaid,2005,11.36,12.79,Tons,22097.47,Gujarat
Rice,Hybrid,Madhya Pradesh,Kharif,2006,34.79,29.69,Tons,81045.84,Madhya Pradesh
Wheat,Hybrid,Tamil Nadu,Rabi,2013,44.22,42.96,Tons,70720.6,Tamil Nadu
Sugarcane,High Yield,Punjab,Zaid,2008,78.59,69.31,Tons,190937.77,Punjab
Oilseeds,High Yield,Haryana,Zaid,2005,11.59,10.69,Tons,20669.39,Haryana
Soybean,Hybrid,Maharashtra,Kharif,2007,9.22,9.73,Tons,19621.91,Maharashtra
Sugarcane,Standard,Maharashtra,Zaid,2003,51.28,56.53,Tons,93640.12,Maharashtra
Soybean,Standard,Madhya Pradesh,Zaid,2013,7.72,6.36,Tons,13348.8,Madhya Pradesh
Sugarcane,Organic,Maharashtra,Rabi,2001,80.78,95.45,Tons,130725.27,Maharashtra
Pulses,Standard,Uttar Pradesh,Rabi,2010,9.46,10.08,Tons,19838.39,Uttar Pradesh
Maize,High Yield,Gujarat,Kharif,2011,28.2,33.1,Tons,49537.34,Gujarat
Pulses,Hybrid,Tamil Nadu,Rabi,2008,9.02,10.5,Tons,18058.11,Tamil Nadu
Jute,Organic,Madhya Pradesh,Zaid,2013,14.16,13.0,Tons,34525.21,Madhya Pradesh
Soybean,Standard,Uttar Pradesh,Rabi,2001,14.64,14.21,Tons,36553.33,Uttar Pradesh
Groundnut,Organic,Karnataka,Zaid,2012,10.44,8.62,Tons,17322.22,Karnataka
Groundnut,Standard,Karnataka,Kharif,2001,15.7,16.42,Tons,33770.58,Karnataka
Soybean,Hybrid,Gujarat,Zaid,2013,8.08,7.54,Tons,13463.69,Gujarat
Wheat,Standard,Maharashtra,Kharif,2007,34.55,28.36,Tons,63192.0,Maharashtra
Jute,Organic,Rajasthan,Rabi,2006,21.41,17.96,Tons,33194.87,Rajasthan
Rice,Standard,Tamil Nadu,Rabi,2005,39.82,44.19,Tons,60593.17,Tamil Nadu
Oilseeds,Standard,Gujarat,Kharif,2008,13.03,13.35,Tons,23326.95,Gujarat
Pulses,Organic,Punjab,Rabi,2013,11.56,11.05,Tons,22857.85,Punjab
Maize,Standard,Madhya Pradesh,Kharif,2007,22.41,18.45,Tons,54812.99,Madhya Pradesh
Groundnut,High Yield,Gujarat,Rabi,2006,20.65,21.31,Tons,33921.75,Gujarat
Maize,Hybrid,Madhya Pradesh,Kharif,2003,23.91,26.98,Tons,49916.75,Madhya Pradesh
Cotton,Organic,Madhya Pradesh,Zaid,2009,8.27,6.86,Tons,12935.49,Madhya Pradesh
Wheat,Standard,Karnataka,Zaid,2007,25.28,29.42,Tons,52356.01,Karnataka
Rice,Hybrid,Maharashtra,Zaid,2003,28.08,33.25,Tons,46648.01,Maharashtra
Soybean,Organic,Madhya Pradesh,Kharif,2011,9.09,10.0,Tons,19896.76,Madhya Pradesh
Sugarcane,Standard,Tamil Nadu,Rabi,2005,81.78,78.69,Tons,166279.16,Tamil Nadu
Soybean,Standard,Haryana,Kharif,2005,12.49,11.13,Tons,26277.42,Haryana
Cotton,Standard,Andhra Pradesh,Rabi,2005,11.58,9.88,Tons,25102.48,Andhra Pradesh
Pulses,High Yield,Uttar Pradesh,Zaid,2001,7.33,8.15,Tons,14155.11,Uttar Pradesh
Pulses,Organic,Uttar Pradesh,Rabi,2011,10.05,8.79,Tons,22157.95,Uttar Pradesh
Rice,Organic,Rajasthan,Zaid,2011,24.63,24.76,Tons,41434.15,Rajasthan
Wheat,Standard,Tamil Nadu,Kharif,2013,40.81,44.37,Tons,85005.25,Tamil Nadu
Groundnut,Standard,Gujarat,Rabi,2012,16.86,18.33,Tons,35082.49,Gujarat
Pulses,High Yield,Uttar Pradesh,Zaid,2002,7.71,8.75,Tons,16890.57,Uttar Pradesh
Oilseeds,Standard,Maharashtra,Zaid,2014,8.93,7.97,Tons,14459.66,Maharashtra
Groundnut,High Yield,Gujarat,Zaid,2008,12.62,12.57,Tons,22912.84,Gujarat
Sugarcane,Hybrid,Maharashtra,Rabi,2006,87.97,86.02,Tons,168121.2,Maharashtra
Jute,High Yield,Punjab,Zaid,2014,22.15,18.5,Tons,46672.48,Punjab
Groundnut,Standard,Maharashtra,Rabi,2002,18.91,18.12,Tons,33623.69,Maharashtra
Maize,Hybrid,Maharashtra,Kharif,2002,22.88,27.03,Tons,37383.96,Maharashtra
Cotton,Hybrid,Punjab,Zaid,2013,13.89,15.09,Tons,22085.56,Punjab
Soybean,Hybrid,Haryana,Zaid,2005,10.61,10.05,Tons,18225.77,Haryana
Pulses,Organic,Haryana,Zaid,2003,7.87,8.55,Tons,14185.61,Haryana
Cotton,High Yield,Andhra Pradesh,Kharif,2008,13.29,12.54,Tons,31163.16,Andhra Pradesh
Rice,High Yield,Gujarat,Kharif,2003,46.66,44.97,Tons,70449.55,Gujarat
Soybean,Organic,Rajasthan,Rabi,2011,10.37,12.37,Tons,24008.62,Rajasthan
Sugarcane,High Yield,Gujarat,Zaid,2007,56.52,59.0,Tons,122216.32,Gujarat
Pulses,Hybrid,Rajasthan,Kharif,2009,6.66,5.33,Tons,13780.84,Rajasthan
Pulses,Standard,Karnataka,Rabi,2011,9.34,9.83,Tons,19318.23,Karnataka
Wheat,High Yield,Uttar Pradesh,Zaid,2011,33.52,29.25,Tons,60677.96,Uttar Pradesh
Soybean,Hybrid,Madhya Pradesh,Rabi,2002,9.79,11.47,Tons,15994.81,Madhya Pradesh
Maize,Standard,Tamil Nadu,Zaid,2014,19.75,20.77,Tons,47398.14,Tamil Nadu
Rice,Hybrid,Andhra Pradesh,Kharif,2001,37.19,33.49,Tons,85781.28,Andhra Pradesh
Wheat,High Yield,Haryana,Rabi,2005,47.19,48.04,Tons,84589.61,Haryana
Jute,Hybrid,Maharashtra,Zaid,2001,14.1,16.23,Tons,23202.92,Maharashtra
Oilseeds,High Yield,Karnataka,Zaid,2012,8.11,8.57,Tons,18174.23,Karnataka
Jute,Organic,Rajasthan,Zaid,2010,12.62,14.86,Tons,23791.31,Rajasthan
Wheat,Hybrid,Karnataka,Zaid,2010,23.51,21.39,Tons,52561.51,Karnataka
Jute,Standard,Uttar Pradesh,Zaid,2004,17.84,20.91,Tons,31736.23,Uttar Pradesh
Rice,Organic,Haryana,Rabi,2011,50.43,47.36,Tons,96214.55,Haryana
Wheat,Organic,Gujarat,Zaid,2002,32.16,34.09,Tons,52370.08,Gujarat
Groundnut,Standard,Punjab,Kharif,2011,20.02,16.79,Tons,34282.3,Punjab
Jute,Standard,Karnataka,Kharif,2002,18.82,19.89,Tons,45713.77,Karnataka
Soybean,Organic,Haryana,Kharif,2001,14.27,14.15,Tons,26547.02,Haryana
Jute,Standard,Karnataka,Kharif,2010,17.9,16.78,Tons,27871.22,Karnataka
Rice,Organic,Karnataka,Zaid,2004,33.96,33.41,Tons,66197.88,Karnataka
Sugarcane,Standard,Maharashtra,Rabi,2011,77.02,65.85,Tons,159652.37,Maharashtra
Oilseeds,Organic,Andhra Pradesh,Kharif,2005,10.89,12.68,Tons,17449.23,Andhra Pradesh
Sugarcane,Organic,Andhra Pradesh,Rabi,2014,80.05,82.69,Tons,162258.13,Andhra Pradesh
Jute,Hybrid,Rajasthan,Kharif,2006,18.89,18.14,Tons,31905.21,Rajasthan
Groundnut,High Yield,Tamil Nadu,Kharif,2008,13.47,13.86,Tons,20865.37,Tamil Nadu
Sugarcane,High Yield,Punjab,Kharif,2009,93.63,75.9,Tons,166120.01,Punjab
Cotton,Hybrid,Punjab,Zaid,2012,13.29,15.38,Tons,29058.51,Punjab
Jute,Standard,Gujarat,Kharif,2011,19.56,22.36,Tons,42559.98,Gujarat
Rice,Hybrid,Tamil Nadu,Rabi,2010,44.03,45.83,Tons,80508.58,Tamil Nadu
Jute,Standard,Haryana,Kharif,2002,26.52,21.82,Tons,61920.52,Haryana
Sugarcane,Hybrid,Gujarat,Zaid,2008,57.9,56.33,Tons,87964.17,Gujarat
Sugarcane,High Yield,Gujarat,Kharif,2014,69.3,60.31,Tons,153298.52,Gujarat
Maize,Hybrid,Rajasthan,Kharif,2001,18.98,18.99,Tons,42879.97,Rajasthan
Pulses,Organic,Punjab,Zaid,2006,7.46,7.74,Tons,16295.53,Punjab
Jute,Organic,Uttar Pradesh,Zaid,2005,17.27,20.62,Tons,25949.36,Uttar Pradesh
Oilseeds,Organic,Rajasthan,Rabi,2007,10.39,9.41,Tons,25085.97,Rajasthan
Jute,High Yield,Punjab,Kharif,2002,26.89,27.38,Tons,46328.16,Punjab
Sugarcane,Hybrid,Gujarat,Kharif,2001,69.8,58.44,Tons,125900.32,Gujarat
Oilseeds,Organic,Tamil Nadu,Kharif,2010,13.72,11.69,Tons,22515.33,Tamil Nadu
Soybean,Hybrid,Karnataka,Kharif,2004,8.32,7.21,Tons,14454.64,Karnataka
Oilseeds,High Yield,Maharashtra,Rabi,2002,12.08,9.75,Tons,18787.66,Maharashtra
Maize,Hybrid,Rajasthan,Kharif,2001,21.32,20.68,Tons,34972.61,Rajasthan
Rice,Hybrid,Karnataka,Rabi,2004,43.99,52.53,Tons,109082.43,Karnataka
Groundnut,Hybrid,Rajasthan,Zaid,2003,9.51,10.87,Tons,16394.27,Rajasthan
Wheat,Standard,Gujarat,Kharif,2007,37.78,41.74,Tons,68397.96,Gujarat
Jute,High Yield,Rajasthan,Zaid,2001,15.13,13.63,Tons,33850.0,Rajasthan
Soybean,High Yield,Maharashtra,Kharif,2014,8.51,8.0,Tons,14150.24,Maharashtra
Maize,Organic,Andhra Pradesh,Rabi,2013,26.47,22.72,Tons,56298.14,Andhra Pradesh
Groundnut,Standard,Uttar Pradesh,Zaid,2002,12.99,13.41,Tons,20087.43,Uttar Pradesh
Jute,High Yield,Gujarat,Rabi,2009,22.1,23.54,Tons,39019.08,Gujarat
Soybean,High Yield,Karnataka,Rabi,2012,9.31,11.04,Tons,23060.15,Karnataka
Rice,Hybrid,Uttar Pradesh,Rabi,2002,57.26,51.78,Tons,97561.45,Uttar Pradesh
Oilseeds,Organic,Rajasthan,Rabi,2014,11.66,10.1,Tons,22335.76,Rajasthan
Cotton,Standard,Tamil Nadu,Zaid,2009,8.78,7.45,Tons,13667.0,Tamil Nadu
Wheat,High Yield,Maharashtra,Kharif,2014,34.43,37.63,Tons,76045.53,Maharashtra
Oilseeds,Organic,Maharashtra,Kharif,2014,10.66,9.81,Tons,22196.91,Maharashtra
Cotton,Hybrid,Rajasthan,Kharif,2014,9.99,10.37,Tons,22945.83,Rajasthan
Jute,Organic,Punjab,Rabi,2011,32.12,33.75,Tons,53139.27,Punjab
Soybean,Standard,Haryana,Kharif,2011,11.42,10.6,Tons,25531.39,Haryana
Pulses,Organic,Maharashtra,Kharif,2009,8.84,8.51,Tons,20904.87,Maharashtra
Pulses,Hybrid,Uttar Pradesh,Zaid,2011,7.98,8.06,Tons,15452.16,Uttar Pradesh
Wheat,Hybrid,Rajasthan,Kharif,2007,31.7,34.64,Tons,61576.12,Rajasthan
Groundnut,Hybrid,Tamil Nadu,Rabi,2012,15.96,18.06,Tons,33956.14,Tamil Nadu
Jute,Hybrid,Karnataka,Rabi,2013,21.96,21.86,Tons,42782.51,Karnataka
Wheat,Hybrid,Karnataka,Rabi,2010,38.79,37.88,Tons,77871.37,Karnataka
Rice,Standard,Haryana,Rabi,2001,59.96,65.21,Tons,116996.59,Haryana
Oilseeds,Organic,Andhra Pradesh,Rabi,2001,12.08,13.69,Tons,21147.94,Andhra Pradesh
Maize,Hybrid,Haryana,Rabi,2007,35.73,30.43,Tons,72997.43,Haryana
Groundnut,High Yield,Andhra Pradesh,Rabi,2009,16.3,15.01,Tons,27403.18,Andhra Pradesh
Oilseeds,High Yield,Gujarat,Rabi,2009,16.41,13.95,Tons,39915.78,Gujarat
Cotton,Organic,Rajasthan,Zaid,2006,7.63,6.44,Tons,15924.46,Rajasthan
Groundnut,Organic,Madhya Pradesh,Kharif,2003,12.65,15.04,Tons,25036.75,Madhya Pradesh
Wheat,High Yield,Madhya Pradesh,Rabi,2005,33.68,34.13,Tons,57956.95,Madhya Pradesh
Groundnut,Organic,Rajasthan,Rabi,2013,14.59,12.88,Tons,22497.72,Rajasthan
Oilseeds,Standard,Rajasthan,Kharif,2003,9.49,10.85,Tons,23712.56,Rajasthan
Pulses,Standard,Rajasthan,Kharif,2003,7.39,6.05,Tons,15643.13,Rajasthan
Cotton,High Yield,Haryana,Rabi,2002,17.11,14.48,Tons,27962.3,Haryana
Jute,Hybrid,Haryana,Zaid,2012,17.48,18.81,Tons,37981.38,Haryana
Jute,Organic,Gujarat,Zaid,2012,19.14,21.47,Tons,32552.25,Gujarat
Sugarcane,High Yield,Madhya Pradesh,Kharif,2011,54.49,55.31,Tons,89907.44,Madhya Pradesh
Rice,High Yield,Tamil Nadu,Rabi,2014,52.89,52.95,Tons,107713.89,Tamil Nadu
Oilseeds,Organic,Maharashtra,Kharif,2011,10.38,9.72,Tons,21787.66,Maharashtra
Soybean,Organic,Karnataka,Kharif,2004,10.41,8.85,Tons,22554.8,Karnataka
Oilseeds,High Yield,Rajasthan,Rabi,2009,12.29,14.06,Tons,25038.15,Rajasthan
Cotton,Organic,Madhya Pradesh,Kharif,2003,10.86,11.41,Tons,17080.9,Madhya Pradesh
Oilseeds,High Yield,Haryana,Zaid,2012,13.56,14.84,Tons,23147.28,Haryana
Rice,Hybrid,Andhra Pradesh,Rabi,2004,48.16,44.25,Tons,84790.95,Andhra Pradesh
Jute,Hybrid,Tamil Nadu,Kharif,2014,18.42,21.18,Tons,32471.57,Tamil Nadu
Oilseeds,Hybrid,Andhra Pradesh,Rabi,2007,13.66,15.86,Tons,33615.14,Andhra Pradesh
Soybean,Standard,Punjab,Zaid,2005,9.84,11.03,Tons,22266.18,Punjab
Wheat,Hybrid,Tamil Nadu,Rabi,2005,37.87,32.07,Tons,73890.79,Tamil Nadu
Groundnut,High Yield,Karnataka,Rabi,2001,17.15,17.25,Tons,41791.22,Karnataka
Rice,Hybrid,Rajasthan,Rabi,2013,38.35,35.91,Tons,88077.57,Rajasthan
Wheat,High Yield,Tamil Nadu,Rabi,2014,44.45,41.49,Tons,84612.65,Tamil Nadu
Maize,Standard,Punjab,Zaid,2011,28.29,26.41,Tons,56203.26,Punjab
Soybean,High Yield,Rajasthan,Rabi,2008,8.25,7.16,Tons,18786.95,Rajasthan
Rice,Hybrid,Tamil Nadu,Zaid,2010,34.12,33.4,Tons,63348.13,Tamil Nadu
Wheat,Standard,Gujarat,Kharif,2009,38.01,33.54,Tons,85889.29,Gujarat
Sugarcane,Standard,Haryana,Zaid,2004,65.51,77.18,Tons,145608.88,Haryana
Wheat,Standard,Rajasthan,Kharif,2014,33.09,36.04,Tons,61302.98,Rajasthan
Pulses,Hybrid,Rajasthan,Kharif,2014,6.26,5.32,Tons,10160.47,Rajasthan
Maize,Standard,Madhya Pradesh,Zaid,2004,15.99,15.95,Tons,38603.76,Madhya Pradesh
Cotton,Standard,Andhra Pradesh,Rabi,2010,11.43,9.16,Tons,18437.54,Andhra Pradesh
Rice,Organic,Tamil Nadu,Rabi,2007,41.37,39.31,Tons,73825.79,Tamil Nadu
Wheat,Organic,Rajasthan,Rabi,2004,34.08,28.79,Tons,74962.18,Rajasthan
Jute,Hybrid,Uttar Pradesh,Zaid,2012,21.97,18.61,Tons,49223.63,Uttar Pradesh
Wheat,Standard,Tamil Nadu,Rabi,2002,40.27,47.46,Tons,85581.45,Tamil Nadu
Cotton,Hybrid,Karnataka,Zaid,2014,8.26,9.07,Tons,12665.23,Karnataka
Cotton,Hybrid,Haryana,Kharif,2012,14.11,13.38,Tons,24669.83,Haryana
Soybean,Organic,Andhra Pradesh,Kharif,2009,10.2,9.39,Tons,21924.38,Andhra Pradesh
Pulses,Organic,Uttar Pradesh,Kharif,2001,8.62,6.93,Tons,20562.27,Uttar Pradesh
Soybean,High Yield,Maharashtra,Rabi,2007,10.04,11.93,Tons,16233.45,Maharashtra
Rice,Standard,Haryana,Zaid,2008,37.08,31.16,Tons,59053.64,Haryana
Maize,Standard,Maharashtra,Zaid,2011,17.94,20.39,Tons,31268.83,Maharashtra
Oilseeds,High Yield,Andhra Pradesh,Zaid,2007,10.81,9.04,Tons,23243.65,Andhra Pradesh
Jute,Hybrid,Maharashtra,Rabi,2002,19.04,16.17,Tons,38009.82,Maharashtra
Pulses,High Yield,Gujarat,Zaid,2004,6.21,6.26,Tons,10970.82,Gujarat
Jute,Organic,Madhya Pradesh,Kharif,2002,19.12,18.1,Tons,32318.47,Madhya Pradesh
Sugarcane,Standard,Maharashtra,Rabi,2004,83.48,86.11,Tons,157804.21,Maharashtra
Sugarcane,Standard,Uttar Pradesh,Zaid,2010,74.12,78.59,Tons,158924.35,Uttar Pradesh
Cotton,High Yield,Tamil Nadu,Zaid,2007,9.22,10.07,Tons,15867.78,Tamil Nadu
Oilseeds,Hybrid,Uttar Pradesh,Rabi,2009,14.36,12.01,Tons,21684.16,Uttar Pradesh
Oilseeds,Organic,Uttar Pradesh,Zaid,2007,10.96,10.52,Tons,16635.62,Uttar Pradesh
Cotton,High Yield,Uttar Pradesh,Zaid,2012,12.12,13.97,Tons,30183.57,Uttar Pradesh
Cotton,High Yield,Haryana,Zaid,2005,11.86,9.73,Tons,28507.94,Haryana
Maize,Standard,Andhra Pradesh,Kharif,2011,26.28,25.78,Tons,56884.27,Andhra Pradesh
Jute,High Yield,Maharashtra,Zaid,2008,16.59,18.9,Tons,34941.78,Maharashtra
Pulses,Organic,Uttar Pradesh,Zaid,2001,7.41,6.35,Tons,14413.39,Uttar Pradesh
Rice,Standard,Andhra Pradesh,Kharif,2010,37.64,44.63,Tons,84476.17,Andhra Pradesh
Sugarcane,Organic,Haryana,Rabi,2009,91.92,100.18,Tons,145539.59,Haryana
Maize,Organic,Andhra Pradesh,Zaid,2011,21.67,21.17,Tons,40786.03,Andhra Pradesh
Pulses,Organic,Maharashtra,Zaid,2012,6.13,6.55,Tons,12417.98,Maharashtra
Oilseeds,High Yield,Punjab,Kharif,2013,15.96,12.96,Tons,34280.26,Punjab
Pulses,High Yield,Uttar Pradesh,Kharif,2013,8.38,8.19,Tons,16144.23,Uttar Pradesh
Oilseeds,Organic,Punjab,Kharif,2003,15.44,12.59,Tons,23980.17,Punjab
Maize,Standard,Gujarat,Zaid,2005,19.32,18.66,Tons,31413.55,Gujarat
Maize,Hybrid,Gujarat,Kharif,2014,25.42,26.95,Tons,54524.58,Gujarat
Groundnut,High Yield,Gujarat,Zaid,2006,15.1,16.37,Tons,31655.23,Gujarat
Groundnut,Organic,Tamil Nadu,Zaid,2007,14.19,14.42,Tons,35028.14,Tamil Nadu
Oilseeds,Organic,Maharashtra,Kharif,2013,10.95,12.73,Tons,25722.01,Maharashtra
Wheat,Organic,Maharashtra,Zaid,2008,24.3,25.43,Tons,58719.09,Maharashtra
Groundnut,High Yield,Andhra Pradesh,Rabi,2011,14.22,16.08,Tons,31871.67,Andhra Pradesh
Jute,Hybrid,Haryana,Kharif,2013,26.43,30.57,Tons,56700.12,Haryana
Groundnut,High Yield,Haryana,Zaid,2014,13.95,13.54,Tons,32542.16,Haryana
Pulses,Standard,Punjab,Zaid,2001,7.42,7.61,Tons,14421.95,Punjab
Pulses,High Yield,Tamil Nadu,Rabi,2013,9.38,9.69,Tons,21528.18,Tamil Nadu
Rice,High Yield,Uttar Pradesh,Rabi,2006,49.62,43.83,Tons,111551.22,Uttar Pradesh
Groundnut,Organic,Punjab,Zaid,2009,15.25,17.78,Tons,28750.97,Punjab
Wheat,Organic,Haryana,Rabi,2012,42.89,44.38,Tons,78758.24,Haryana
Oilseeds,High Yield,Karnataka,Rabi,2008,11.67,12.7,Tons,24396.13,Karnataka
Jute,High Yield,Andhra Pradesh,Kharif,2012,21.65,22.1,Tons,44641.14,Andhra Pradesh
Oilseeds,Hybrid,Rajasthan,Zaid,2013,8.67,7.81,Tons,19190.24,Rajasthan
Soybean,High Yield,Uttar Pradesh,Rabi,2007,13.36,13.27,Tons,32971.53,Uttar Pradesh
Maize,Standard,Maharashtra,Rabi,2007,26.93,31.31,Tons,49012.15,Maharashtra
Groundnut,Organic,Haryana,Kharif,2013,17.23,20.56,Tons,37658.61,Haryana
Rice,Hybrid,Rajasthan,Zaid,2004,23.57,19.52,Tons,48042.05,Rajasthan
Rice,Hybrid,Gujarat,Zaid,2007,38.62,45.86,Tons,82937.96,Gujarat
Wheat,Hybrid,Gujarat,Kharif,2001,38.96,42.51,Tons,87651.53,Gujarat
Cotton,Hybrid,Maharashtra,Kharif,2003,10.24,10.2,Tons,17348.67,Maharashtra
Wheat,Hybrid,Gujarat,Zaid,2007,32.78,30.15,Tons,68970.3,Gujarat
Groundnut,High Yield,Punjab,Kharif,2004,17.34,14.05,Tons,32456.17,Punjab
Jute,Organic,Punjab,Kharif,2014,22.72,18.27,Tons,44868.45,Punjab
Cotton,Organic,Gujarat,Kharif,2013,12.6,11.12,Tons,30535.63,Gujarat
Rice,Organic,Maharashtra,Zaid,2011,35.4,38.91,Tons,75432.08,Maharashtra
Groundnut,Organic,Madhya Pradesh,Zaid,2002,11.21,13.27,Tons,22107.67,Madhya Pradesh
Groundnut,Hybrid,Karnataka,Kharif,2005,15.26,14.4,Tons,24105.72,Karnataka
Sugarcane,Organic,Maharashtra,Kharif,2014,78.95,65.54,Tons,119143.38,Maharashtra
Groundnut,High Yield,Uttar Pradesh,Rabi,2011,17.19,18.04,Tons,38078.03,Uttar Pradesh
Maize,High Yield,Punjab,Kharif,2005,30.24,25.24,Tons,60331.2,Punjab
Rice,Standard,Uttar Pradesh,Rabi,2002,51.88,52.34,Tons,95157.62,Uttar Pradesh
Soybean,High Yield,Punjab,Zaid,2002,11.06,9.09,Tons,20649.72,Punjab
Soybean,High Yield,Karnataka,Rabi,2005,9.9,10.2,Tons,16664.27,Karnataka
Sugarcane,High Yield,Gujarat,Rabi,2004,86.23,83.48,Tons,162665.04,Gujarat
Groundnut,Hybrid,Tamil Nadu,Kharif,2014,17.55,19.0,Tons,27694.06,Tamil Nadu
Pulses,Hybrid,Gujarat,Kharif,2012,8.98,10.57,Tons,21392.4,Gujarat
Maize,Standard,Rajasthan,Rabi,2006,22.25,20.35,Tons,49375.06,Rajasthan
Oilseeds,Organic,Andhra Pradesh,Zaid,2003,9.55,11.11,Tons,18053.92,Andhra Pradesh
Rice,High Yield,Andhra Pradesh,Kharif,2005,45.33,45.7,Tons,77623.64,Andhra Pradesh
Wheat,Hybrid,Rajasthan,Rabi,2011,33.09,30.55,Tons,80618.47,Rajasthan
Groundnut,High Yield,Rajasthan,Kharif,2013,10.98,11.98,Tons,17582.68,Rajasthan
Pulses,Hybrid,Madhya Pradesh,Kharif,2010,7.69,7.4,Tons,12400.93,Madhya Pradesh
Maize,Hybrid,Uttar Pradesh,Rabi,2001,37.68,31.22,Tons,67289.82,Uttar Pradesh
Jute,Organic,Maharashtra,Zaid,2007,17.53,20.54,Tons,35915.23,Maharashtra
Oilseeds,High Yield,Rajasthan,Kharif,2007,8.93,9.85,Tons,17414.35,Rajasthan
Cotton,Organic,Haryana,Zaid,2008,11.99,13.07,Tons,21141.28,Haryana
Maize,Organic,Madhya Pradesh,Rabi,2002,22.51,21.69,Tons,43620.36,Madhya Pradesh
